Средство;Широта;Долгота
09 09:24:16  ;  55.433581667 ;  38.579476667  
09 09:24:21  ;  55.432068333 ;  38.586726667  
09 09:24:26  ;  55.430548333 ;  38.593885  
09 09:24:31  ;  55.429055 ;  38.60093  
09 09:24:36  ;  55.427613333 ;  38.607923333  
09 09:24:41  ;  55.426288333 ;  38.614988333  
09 09:24:46  ;  55.425241667 ;  38.622158333  
09 09:24:51  ;  55.424246667 ;  38.629336667  
09 09:24:56  ;  55.423491667 ;  38.636631667  
09 09:25:01  ;  55.423558333 ;  38.644023333  
09 09:25:06  ;  55.424538333 ;  38.651356667  
09 09:25:11  ;  55.425298333 ;  38.658685  
09 09:25:16  ;  55.42561 ;  38.666221667  
09 09:25:21  ;  55.426156667 ;  38.673698333  
09 09:25:26  ;  55.427811667 ;  38.680673333  
09 09:25:31  ;  55.430673333 ;  38.686006667  
09 09:25:36  ;  55.434368333 ;  38.689455  
09 09:25:41  ;  55.438441667 ;  38.690715  
09 09:25:46  ;  55.442423333 ;  38.689866667  
09 09:25:51  ;  55.446303333 ;  38.688238333  
09 09:25:56  ;  55.450136667 ;  38.686585  
09 09:26:01  ;  55.453943333 ;  38.685006667  
09 09:26:06  ;  55.45772 ;  38.683483333  
09 09:26:11  ;  55.461451667 ;  38.682031667  
09 09:26:16  ;  55.46522 ;  38.681086667  
09 09:26:21  ;  55.469028333 ;  38.681181667  
09 09:26:26  ;  55.4728 ;  38.682181667  
09 09:26:31  ;  55.476545 ;  38.683435  
09 09:26:36  ;  55.48029 ;  38.684668333  
09 09:26:41  ;  55.484063333 ;  38.685815  
09 09:26:46  ;  55.487875 ;  38.686895  
09 09:26:51  ;  55.49173 ;  38.68795  
09 09:26:56  ;  55.49563 ;  38.689006667  
09 09:27:01  ;  55.499575 ;  38.690076667  
09 09:27:06  ;  55.503563333 ;  38.691156667  
09 09:27:11  ;  55.507601667 ;  38.692233333  
09 09:27:16  ;  55.511703333 ;  38.692915  
09 09:27:21  ;  55.515865 ;  38.69261  
09 09:27:26  ;  55.519963333 ;  38.690995  
09 09:27:31  ;  55.523911667 ;  38.688221667  
09 09:27:36  ;  55.527533333 ;  38.684188333  
09 09:27:41  ;  55.530855 ;  38.679395  
09 09:27:46  ;  55.53399 ;  38.674288333  
09 09:27:51  ;  55.536876667 ;  38.668781667  
09 09:27:56  ;  55.539446667 ;  38.662805  
09 09:28:01  ;  55.541705 ;  38.656466667  
09 09:28:06  ;  55.543831667 ;  38.650008333  
09 09:28:11  ;  55.545893333 ;  38.64327  
09 09:28:16  ;  55.548143333 ;  38.6366  
09 09:28:21  ;  55.550838333 ;  38.630235  
09 09:28:26  ;  55.553678333 ;  38.624045  
09 09:28:31  ;  55.556551667 ;  38.617886667  
09 09:28:36  ;  55.5594 ;  38.611685  
09 09:28:41  ;  55.562203333 ;  38.60556  
09 09:28:46  ;  55.564886667 ;  38.599481667  
09 09:28:51  ;  55.567546667 ;  38.593505  
09 09:28:56  ;  55.570138333 ;  38.587558333  
09 09:29:01  ;  55.572576667 ;  38.581465  
09 09:29:06  ;  55.574823333 ;  38.57518  
09 09:29:11  ;  55.576883333 ;  38.568695  
09 09:29:16  ;  55.5788 ;  38.561978333  
09 09:29:21  ;  55.580686667 ;  38.555115  
09 09:29:26  ;  55.582673333 ;  38.548468333  
09 09:29:31  ;  55.584775 ;  38.54207  
09 09:29:36  ;  55.586976667 ;  38.53589  
09 09:29:41  ;  55.58924 ;  38.529865  
09 09:29:46  ;  55.591551667 ;  38.523925  
09 09:29:51  ;  55.593921667 ;  38.518063333  
09 09:29:56  ;  55.596285 ;  38.512175  
09 09:30:01  ;  55.598646667 ;  38.50624  
09 09:30:06  ;  55.601025 ;  38.500268333  
09 09:30:11  ;  55.603431667 ;  38.494261667  
09 09:30:16  ;  55.605858333 ;  38.48822  
09 09:30:21  ;  55.608305 ;  38.482141667  
09 09:30:26  ;  55.610765 ;  38.476033333  
09 09:30:31  ;  55.613236667 ;  38.469893333  
09 09:30:36  ;  55.615725 ;  38.463716667  
09 09:30:41  ;  55.61823 ;  38.4575  
09 09:30:46  ;  55.62075 ;  38.451245  
09 09:30:51  ;  55.623285 ;  38.444955  
09 09:30:56  ;  55.625835 ;  38.43864  
09 09:31:01  ;  55.628388333 ;  38.432306667  
09 09:31:06  ;  55.630943333 ;  38.425973333  
09 09:31:11  ;  55.633493333 ;  38.419648333  
09 09:31:16  ;  55.636048333 ;  38.413348333  
